"status","duration","credit_history","purpose","credit_amount","savings_account","employment","installment_rate","personal_status","guarantors","residence_since","property","age","installment_plans","housing","num_credits","job","dependents","telephone","foreign_worker","assessment"
"small_balance",12,"critical_account","used_car",1804,"moderate_savings","less_than_1yr",3,"male_single","none",4,"insurance",44,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",10,"critical_account","furniture",2069,"unknown_savings","1_to_4yrs",2,"male_married","none",1,"car_or_other",26,"none","own",2,"skilled_employee",1,"none","no","good"
"negative_balance",6,"current_credits_paid","furniture",1374,"low_savings","1_to_4yrs",1,"male_single","none",2,"real_estate",36,"bank","own",1,"unskilled_resident",1,"registered","yes","good"
"no_account",6,"no_credits","electronics",426,"low_savings","7_or_more_yrs",4,"male_married","none",4,"car_or_other",39,"none","own",1,"unskilled_resident",1,"none","yes","good"
"large_balance",12,"all_paid","electronics",409,"high_savings","1_to_4yrs",3,"female_divorced","none",3,"real_estate",42,"none","rent",2,"skilled_employee",1,"none","yes","good"
"small_balance",7,"current_credits_paid","electronics",2415,"low_savings","1_to_4yrs",3,"male_single","guarantor",2,"real_estate",34,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",60,"past_delay","business",6836,"low_savings","7_or_more_yrs",3,"male_single","none",4,"no_property",63,"none","own",2,"skilled_employee",1,"registered","yes","bad"
"small_balance",18,"current_credits_paid","business",1913,"high_savings","less_than_1yr",3,"male_married","none",3,"real_estate",36,"bank","own",1,"skilled_employee",1,"registered","yes","good"
"negative_balance",24,"current_credits_paid","furniture",4020,"low_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",27,"stores","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",18,"current_credits_paid","new_car",5866,"moderate_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",30,"none","own",2,"skilled_employee",1,"registered","yes","good"
"no_account",12,"critical_account","business",1264,"unknown_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",57,"none","rent",1,"unskilled_resident",1,"none","yes","good"
"large_balance",12,"current_credits_paid","furniture",1474,"low_savings","less_than_1yr",4,"female_divorced","none",1,"insurance",33,"bank","own",1,"management",1,"registered","yes","good"
"small_balance",45,"critical_account","electronics",4746,"low_savings","less_than_1yr",4,"male_single","none",2,"insurance",25,"none","own",2,"unskilled_resident",1,"none","yes","bad"
"no_account",48,"critical_account","education",6110,"low_savings","1_to_4yrs",1,"male_single","none",3,"no_property",31,"bank","free",1,"skilled_employee",1,"registered","yes","good"
"large_balance",18,"current_credits_paid","electronics",2100,"low_savings","1_to_4yrs",4,"male_single","co_applicant",2,"real_estate",37,"stores","own",1,"skilled_employee",1,"none","yes","bad"
"large_balance",10,"current_credits_paid","appliances",1225,"low_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",37,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",9,"current_credits_paid","electronics",458,"low_savings","1_to_4yrs",4,"male_single","none",3,"real_estate",24,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",30,"current_credits_paid","electronics",2333,"good_savings","7_or_more_yrs",4,"male_single","none",2,"car_or_other",30,"bank","own",1,"management",1,"none","yes","good"
"small_balance",12,"current_credits_paid","electronics",1158,"good_savings","1_to_4yrs",3,"male_divorced","none",1,"car_or_other",26,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",18,"past_delay","repairs",6204,"low_savings","1_to_4yrs",2,"male_single","none",4,"real_estate",44,"none","own",1,"unskilled_resident",2,"registered","yes","good"
"negative_balance",30,"critical_account","used_car",6187,"moderate_savings","4_to_7yrs",1,"male_married","none",4,"car_or_other",24,"none","rent",2,"skilled_employee",1,"none","yes","good"
"negative_balance",48,"critical_account","used_car",6143,"low_savings","7_or_more_yrs",4,"female_divorced","none",4,"no_property",58,"stores","free",2,"unskilled_resident",1,"none","yes","bad"
"no_account",11,"critical_account","new_car",1393,"low_savings","less_than_1yr",4,"female_divorced","none",4,"car_or_other",35,"none","own",2,"management",1,"none","yes","good"
"no_account",36,"current_credits_paid","electronics",2299,"good_savings","7_or_more_yrs",4,"male_single","none",4,"car_or_other",39,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",6,"current_credits_paid","used_car",1352,"good_savings","unemployed",1,"female_divorced","none",2,"insurance",23,"none","rent",1,"unemployed",1,"registered","yes","good"
"no_account",11,"critical_account","new_car",7228,"low_savings","1_to_4yrs",1,"male_single","none",4,"insurance",39,"none","own",2,"unskilled_resident",1,"none","yes","good"
"no_account",12,"current_credits_paid","electronics",2073,"moderate_savings","1_to_4yrs",4,"female_divorced","co_applicant",2,"real_estate",28,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",24,"past_delay","furniture",2333,"unknown_savings","less_than_1yr",4,"male_single","none",2,"insurance",29,"bank","own",1,"unskilled_resident",1,"none","yes","good"
"small_balance",27,"past_delay","used_car",5965,"low_savings","7_or_more_yrs",1,"male_single","none",2,"car_or_other",30,"none","own",2,"management",1,"registered","yes","good"
"no_account",12,"current_credits_paid","electronics",1262,"low_savings","1_to_4yrs",3,"male_single","none",2,"car_or_other",25,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",18,"current_credits_paid","used_car",3378,"unknown_savings","1_to_4yrs",2,"male_single","none",1,"insurance",31,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",36,"past_delay","new_car",2225,"low_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",57,"bank","free",2,"skilled_employee",1,"registered","yes","bad"
"no_account",6,"all_paid","new_car",783,"unknown_savings","1_to_4yrs",1,"male_single","guarantor",2,"real_estate",26,"stores","own",1,"unskilled_resident",2,"none","yes","good"
"small_balance",12,"current_credits_paid","electronics",6468,"unknown_savings","unemployed",2,"male_single","none",1,"no_property",52,"none","own",1,"management",1,"registered","yes","bad"
"no_account",36,"critical_account","electronics",9566,"low_savings","1_to_4yrs",2,"female_divorced","none",2,"car_or_other",31,"stores","own",2,"skilled_employee",1,"none","yes","good"
"large_balance",18,"current_credits_paid","new_car",1961,"low_savings","7_or_more_yrs",3,"female_divorced","none",2,"car_or_other",23,"none","own",1,"management",1,"none","yes","good"
"negative_balance",36,"critical_account","furniture",6229,"low_savings","less_than_1yr",4,"female_divorced","co_applicant",4,"no_property",23,"none","rent",2,"unskilled_resident",1,"registered","yes","bad"
"small_balance",9,"current_credits_paid","business",1391,"low_savings","1_to_4yrs",2,"male_married","none",1,"real_estate",27,"bank","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",15,"critical_account","electronics",1537,"unknown_savings","7_or_more_yrs",4,"male_single","guarantor",4,"real_estate",50,"none","own",2,"skilled_employee",1,"registered","yes","good"
"small_balance",36,"no_credits","business",1953,"low_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",61,"none","free",1,"management",1,"registered","yes","bad"
"small_balance",48,"no_credits","business",14421,"low_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",25,"none","own",1,"skilled_employee",1,"registered","yes","bad"
"no_account",24,"current_credits_paid","electronics",3181,"low_savings","less_than_1yr",4,"female_divorced","none",4,"insurance",26,"none","own",1,"skilled_employee",1,"registered","yes","good"
"no_account",27,"current_credits_paid","repairs",5190,"unknown_savings","7_or_more_yrs",4,"male_single","none",4,"insurance",48,"none","own",4,"skilled_employee",2,"registered","yes","good"
"no_account",12,"current_credits_paid","electronics",2171,"low_savings","less_than_1yr",2,"female_divorced","none",2,"car_or_other",29,"bank","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",12,"current_credits_paid","new_car",1007,"high_savings","1_to_4yrs",4,"male_married","none",1,"real_estate",22,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",36,"current_credits_paid","education",1819,"low_savings","1_to_4yrs",4,"male_single","none",4,"no_property",37,"stores","free",1,"skilled_employee",1,"registered","yes","bad"
"no_account",36,"current_credits_paid","electronics",2394,"unknown_savings","1_to_4yrs",4,"female_divorced","none",4,"car_or_other",25,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",36,"current_credits_paid","used_car",8133,"low_savings","1_to_4yrs",1,"female_divorced","none",2,"insurance",30,"bank","own",1,"skilled_employee",1,"none","yes","good"
"no_account",7,"critical_account","electronics",730,"unknown_savings","7_or_more_yrs",4,"male_single","none",2,"insurance",46,"none","rent",2,"unskilled_resident",1,"registered","yes","good"
"negative_balance",8,"critical_account","other",1164,"low_savings","7_or_more_yrs",3,"male_single","none",4,"no_property",51,"bank","free",2,"management",2,"registered","yes","good"
"small_balance",42,"critical_account","business",5954,"low_savings","4_to_7yrs",2,"female_divorced","none",1,"real_estate",41,"bank","own",2,"unskilled_resident",1,"none","yes","good"
"negative_balance",36,"current_credits_paid","education",1977,"unknown_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",40,"none","own",1,"management",1,"registered","yes","bad"
"negative_balance",12,"critical_account","used_car",1526,"low_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",66,"none","free",2,"management",1,"none","yes","good"
"negative_balance",42,"current_credits_paid","electronics",3965,"low_savings","less_than_1yr",4,"male_single","none",3,"car_or_other",34,"none","own",1,"skilled_employee",1,"none","yes","bad"
"small_balance",11,"past_delay","electronics",4771,"low_savings","4_to_7yrs",2,"male_single","none",4,"insurance",51,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",54,"no_credits","used_car",9436,"unknown_savings","1_to_4yrs",2,"male_single","none",2,"insurance",39,"none","own",1,"unskilled_resident",2,"none","yes","good"
"small_balance",30,"current_credits_paid","furniture",3832,"low_savings","less_than_1yr",2,"male_married","none",1,"insurance",22,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",24,"current_credits_paid","electronics",5943,"unknown_savings","less_than_1yr",1,"female_divorced","none",1,"car_or_other",44,"none","own",2,"skilled_employee",1,"registered","yes","bad"
"no_account",15,"current_credits_paid","electronics",1213,"good_savings","7_or_more_yrs",4,"male_single","none",3,"insurance",47,"stores","own",1,"skilled_employee",1,"registered","yes","good"
"no_account",18,"current_credits_paid","business",1568,"moderate_savings","1_to_4yrs",3,"female_divorced","none",4,"insurance",24,"none","rent",1,"unskilled_resident",1,"none","yes","good"
"negative_balance",24,"current_credits_paid","other",1755,"low_savings","7_or_more_yrs",4,"female_divorced","guarantor",4,"real_estate",58,"none","own",1,"unskilled_resident",1,"registered","yes","good"
"negative_balance",10,"current_credits_paid","electronics",2315,"low_savings","7_or_more_yrs",3,"male_single","none",4,"real_estate",52,"none","own",1,"unskilled_resident",1,"none","yes","good"
"no_account",12,"critical_account","business",1412,"low_savings","1_to_4yrs",4,"female_divorced","guarantor",2,"real_estate",29,"none","own",2,"management",1,"registered","yes","good"
"small_balance",18,"critical_account","furniture",1295,"low_savings","less_than_1yr",4,"female_divorced","none",1,"insurance",27,"none","own",2,"skilled_employee",1,"none","yes","good"
"small_balance",36,"current_credits_paid","education",12612,"moderate_savings","1_to_4yrs",1,"male_single","none",4,"no_property",47,"none","free",1,"skilled_employee",2,"registered","yes","bad"
"negative_balance",18,"current_credits_paid","new_car",2249,"moderate_savings","4_to_7yrs",4,"male_single","none",3,"car_or_other",30,"none","own",1,"management",2,"registered","yes","good"
"negative_balance",12,"no_credits","repairs",1108,"low_savings","4_to_7yrs",4,"male_single","none",3,"real_estate",28,"none","own",2,"skilled_employee",1,"none","yes","bad"
"no_account",12,"critical_account","electronics",618,"low_savings","7_or_more_yrs",4,"male_single","none",4,"real_estate",56,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",12,"critical_account","used_car",1409,"low_savings","7_or_more_yrs",4,"male_single","none",3,"real_estate",54,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",12,"critical_account","electronics",797,"unknown_savings","7_or_more_yrs",4,"female_divorced","none",3,"insurance",33,"bank","own",1,"unskilled_resident",2,"none","yes","bad"
"large_balance",24,"critical_account","furniture",3617,"unknown_savings","7_or_more_yrs",4,"male_single","co_applicant",4,"no_property",20,"none","rent",2,"skilled_employee",1,"none","yes","good"
"small_balance",12,"current_credits_paid","new_car",1318,"high_savings","7_or_more_yrs",4,"male_single","none",4,"real_estate",54,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",54,"no_credits","business",15945,"low_savings","less_than_1yr",3,"male_single","none",4,"no_property",58,"none","rent",1,"skilled_employee",1,"registered","yes","bad"
"no_account",12,"critical_account","education",2012,"unknown_savings","4_to_7yrs",4,"female_divorced","none",2,"car_or_other",61,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",18,"current_credits_paid","business",2622,"moderate_savings","1_to_4yrs",4,"male_single","none",4,"car_or_other",34,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",36,"critical_account","electronics",2337,"low_savings","7_or_more_yrs",4,"male_single","none",4,"real_estate",36,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",20,"past_delay","used_car",7057,"unknown_savings","4_to_7yrs",3,"male_single","none",4,"insurance",36,"bank","rent",2,"management",2,"registered","yes","good"
"no_account",24,"current_credits_paid","new_car",1469,"moderate_savings","7_or_more_yrs",4,"male_married","none",4,"real_estate",41,"none","rent",1,"unskilled_resident",1,"none","yes","good"
"small_balance",36,"current_credits_paid","electronics",2323,"low_savings","4_to_7yrs",4,"male_single","none",4,"car_or_other",24,"none","rent",1,"skilled_employee",1,"none","yes","good"
"no_account",6,"past_delay","electronics",932,"low_savings","1_to_4yrs",3,"female_divorced","none",2,"real_estate",24,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",9,"critical_account","furniture",1919,"low_savings","4_to_7yrs",4,"male_single","none",3,"car_or_other",35,"none","rent",1,"skilled_employee",1,"registered","yes","good"
"no_account",12,"current_credits_paid","used_car",2445,"unknown_savings","less_than_1yr",2,"male_married","none",4,"car_or_other",26,"none","rent",1,"skilled_employee",1,"registered","yes","good"
"small_balance",24,"critical_account","other",11938,"low_savings","1_to_4yrs",2,"male_single","co_applicant",3,"car_or_other",39,"none","own",2,"management",2,"registered","yes","bad"
"no_account",18,"all_paid","new_car",6458,"low_savings","7_or_more_yrs",2,"male_single","none",4,"no_property",39,"bank","own",2,"management",2,"registered","yes","bad"
"small_balance",12,"current_credits_paid","new_car",6078,"low_savings","4_to_7yrs",2,"male_single","none",2,"car_or_other",32,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",24,"current_credits_paid","furniture",7721,"unknown_savings","less_than_1yr",1,"female_divorced","none",2,"insurance",30,"none","own",1,"skilled_employee",1,"registered","no","good"
"small_balance",14,"current_credits_paid","business",1410,"good_savings","7_or_more_yrs",1,"male_married","none",2,"real_estate",35,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",6,"past_delay","business",1449,"moderate_savings","7_or_more_yrs",1,"male_divorced","none",2,"car_or_other",31,"bank","own",2,"skilled_employee",2,"none","yes","good"
"large_balance",15,"current_credits_paid","education",392,"low_savings","less_than_1yr",4,"female_divorced","none",4,"insurance",23,"none","rent",1,"skilled_employee",1,"registered","yes","good"
"small_balance",18,"current_credits_paid","new_car",6260,"low_savings","4_to_7yrs",3,"male_single","none",3,"real_estate",28,"none","rent",1,"unskilled_resident",1,"none","yes","good"
"no_account",36,"critical_account","new_car",7855,"low_savings","1_to_4yrs",4,"female_divorced","none",2,"real_estate",25,"stores","own",2,"skilled_employee",1,"registered","yes","bad"
"negative_balance",12,"current_credits_paid","electronics",1680,"good_savings","7_or_more_yrs",3,"male_married","none",1,"real_estate",35,"none","own",1,"skilled_employee",1,"none","yes","good"
"no_account",48,"critical_account","electronics",3578,"unknown_savings","7_or_more_yrs",4,"male_single","none",1,"real_estate",47,"none","own",1,"skilled_employee",1,"registered","yes","good"
"negative_balance",42,"current_credits_paid","electronics",7174,"unknown_savings","4_to_7yrs",4,"female_divorced","none",3,"car_or_other",30,"none","own",1,"management",1,"registered","yes","bad"
"negative_balance",10,"critical_account","furniture",2132,"unknown_savings","less_than_1yr",2,"female_divorced","co_applicant",3,"real_estate",27,"none","rent",2,"skilled_employee",1,"none","no","good"
"negative_balance",33,"critical_account","furniture",4281,"good_savings","1_to_4yrs",1,"female_divorced","none",4,"car_or_other",23,"none","own",2,"skilled_employee",1,"none","yes","bad"
"small_balance",12,"critical_account","new_car",2366,"good_savings","4_to_7yrs",3,"male_divorced","none",3,"car_or_other",36,"none","own",1,"management",1,"registered","yes","good"
"negative_balance",21,"current_credits_paid","electronics",1835,"low_savings","1_to_4yrs",3,"female_divorced","none",2,"real_estate",25,"none","own",2,"skilled_employee",1,"registered","yes","bad"
"no_account",24,"critical_account","used_car",3868,"low_savings","7_or_more_yrs",4,"female_divorced","none",2,"car_or_other",41,"none","rent",2,"management",1,"registered","yes","good"
"no_account",12,"current_credits_paid","furniture",1768,"low_savings","1_to_4yrs",3,"male_single","none",2,"real_estate",24,"none","rent",1,"unskilled_resident",1,"none","yes","good"
"large_balance",10,"critical_account","new_car",781,"low_savings","7_or_more_yrs",4,"male_single","none",4,"no_property",63,"none","free",2,"skilled_employee",1,"registered","yes","good"
"small_balance",18,"current_credits_paid","furniture",1924,"unknown_savings","less_than_1yr",4,"female_divorced","none",3,"real_estate",27,"none","rent",1,"skilled_employee",1,"none","yes","bad"
"negative_balance",12,"critical_account","new_car",2121,"low_savings","1_to_4yrs",4,"male_single","none",2,"insurance",30,"none","own",2,"skilled_employee",1,"none","yes","good"
"negative_balance",12,"current_credits_paid","electronics",701,"low_savings","1_to_4yrs",4,"male_married","none",2,"real_estate",40,"none","own",1,"unskilled_resident",1,"none","yes","good"
"small_balance",12,"current_credits_paid","repairs",639,"low_savings","1_to_4yrs",4,"male_single","none",2,"car_or_other",30,"none","own",1,"skilled_employee",1,"none","yes","bad"
"small_balance",12,"critical_account","used_car",1860,"low_savings","unemployed",4,"male_single","none",2,"car_or_other",34,"none","own",2,"management",1,"registered","yes","good"
"negative_balance",12,"critical_account","new_car",3499,"low_savings","1_to_4yrs",3,"female_divorced","co_applicant",2,"real_estate",29,"none","own",2,"skilled_employee",1,"none","yes","bad"
"small_balance",48,"current_credits_paid","new_car",8487,"unknown_savings","4_to_7yrs",1,"female_divorced","none",2,"car_or_other",24,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",36,"past_delay","education",6887,"low_savings","1_to_4yrs",4,"male_single","none",3,"insurance",29,"stores","own",1,"skilled_employee",1,"registered","yes","bad"
"no_account",15,"current_credits_paid","furniture",2708,"low_savings","less_than_1yr",2,"male_single","none",3,"insurance",27,"bank","own",2,"unskilled_resident",1,"none","yes","good"
"no_account",18,"current_credits_paid","furniture",1984,"low_savings","1_to_4yrs",4,"male_single","none",4,"no_property",47,"bank","free",2,"skilled_employee",1,"none","yes","good"
"no_account",60,"current_credits_paid","electronics",10144,"moderate_savings","4_to_7yrs",2,"female_divorced","none",4,"real_estate",21,"none","own",1,"skilled_employee",1,"registered","yes","good"
"no_account",12,"critical_account","electronics",1240,"unknown_savings","7_or_more_yrs",4,"female_divorced","none",2,"real_estate",38,"none","own",2,"skilled_employee",1,"registered","yes","good"
"no_account",27,"past_delay","used_car",8613,"high_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",27,"none","own",2,"skilled_employee",1,"none","yes","good"
"small_balance",12,"current_credits_paid","electronics",766,"good_savings","1_to_4yrs",4,"male_single","none",3,"real_estate",66,"none","own",1,"unskilled_resident",1,"none","yes","bad"
"small_balance",15,"critical_account","electronics",2728,"unknown_savings","4_to_7yrs",4,"male_single","guarantor",2,"real_estate",35,"bank","own",3,"skilled_employee",1,"registered","yes","good"
"large_balance",12,"current_credits_paid","electronics",1881,"low_savings","1_to_4yrs",2,"female_divorced","none",2,"car_or_other",44,"none","rent",1,"unskilled_resident",1,"registered","yes","good"
"large_balance",6,"current_credits_paid","new_car",709,"high_savings","less_than_1yr",2,"male_married","none",2,"real_estate",27,"none","own",1,"unemployed",1,"none","no","good"
"small_balance",36,"current_credits_paid","electronics",4795,"low_savings","less_than_1yr",4,"female_divorced","none",1,"no_property",30,"none","own",1,"management",1,"registered","yes","good"
"negative_balance",27,"current_credits_paid","electronics",3416,"low_savings","1_to_4yrs",3,"male_single","none",2,"car_or_other",27,"none","own",1,"management",1,"none","yes","good"
"negative_balance",18,"current_credits_paid","furniture",2462,"low_savings","1_to_4yrs",2,"male_single","none",2,"car_or_other",22,"none","own",1,"skilled_employee",1,"none","yes","bad"
"no_account",21,"critical_account","furniture",2288,"low_savings","less_than_1yr",4,"female_divorced","none",4,"insurance",23,"none","own",1,"skilled_employee",1,"registered","yes","good"
"small_balance",48,"all_paid","business",3566,"moderate_savings","4_to_7yrs",4,"male_single","none",2,"car_or_other",30,"none","own",1,"skilled_employee",1,"none","yes","good"
"negative_balance",6,"critical_account","new_car",860,"low_savings","7_or_more_yrs",1,"female_divorced","none",4,"no_property",39,"none","own",2,"skilled_employee",1,"registered","yes","good"
"no_account",12,"critical_account","new_car",682,"moderate_savings","4_to_7yrs",4,"female_divorced","none",3,"car_or_other",51,"none","own",2,"skilled_employee",1,"registered","yes","good"
"negative_balance",36,"critical_account","furniture",5371,"low_savings","1_to_4yrs",3,"male_single","guarantor",2,"insurance",28,"none","own",2,"skilled_employee",1,"none","yes","good"
"no_account",18,"critical_account","electronics",1582,"high_savings","7_or_more_yrs",4,"male_single","none",4,"car_or_other",46,"none","own",2,"skilled_employee",1,"none","yes","good"
"no_account",6,"current_credits_paid","electronics",1346,"moderate_savings","7_or_more_yrs",2,"male_single","none",4,"no_property",42,"bank","free",1,"skilled_employee",2,"registered","yes","good"
"no_account",10,"current_credits_paid","electronics",1924,"low_savings","1_to_4yrs",1,"male_single","none",4,"insurance",38,"none","own",1,"skilled_employee",1,"registered","no","good"
"large_balance",36,"current_credits_paid","electronics",5848,"low_savings","1_to_4yrs",4,"male_single","none",1,"car_or_other",24,"none","own",1,"skilled_employee",1,"none","yes","good"
"small_balance",24,"critical_account","used_car",7758,"high_savings","7_or_more_yrs",2,"female_divorced","none",4,"no_property",29,"none","rent",1,"skilled_employee",1,"none","yes","good"
"small_balance",24,"past_delay","business",6967,"moderate_savings","4_to_7yrs",4,"male_single","none",4,"car_or_other",36,"none","rent",1,"management",1,"registered","yes","good"
"negative_balance",12,"current_credits_paid","furniture",1282,"low_savings","1_to_4yrs",2,"female_divorced","none",4,"car_or_other",20,"none","rent",1,"skilled_employee",1,"none","yes","bad"
"negative_balance",9,"critical_account","repairs",1288,"moderate_savings","7_or_more_yrs",3,"male_single","guarantor",4,"real_estate",48,"none","own",2,"skilled_employee",2,"none","no","good"
"negative_balance",12,"all_paid","retraining",339,"low_savings","7_or_more_yrs",4,"male_married","none",1,"car_or_other",45,"bank","own",1,"unskilled_resident",1,"none","yes","good"
"small_balance",24,"current_credits_paid","new_car",3512,"moderate_savings","4_to_7yrs",2,"male_single","none",3,"car_or_other",38,"bank","own",2,"skilled_employee",1,"registered","yes","good"
"no_account",6,"critical_account","electronics",1898,"unknown_savings","1_to_4yrs",1,"male_single","none",2,"real_estate",34,"none","own",2,"unskilled_resident",2,"none","yes","good"
"no_account",24,"critical_account","electronics",2872,"moderate_savings","7_or_more_yrs",3,"male_single","none",4,"real_estate",36,"none","own",1,"skilled_employee",2,"registered","yes","good"
"no_account",18,"critical_account","new_car",1055,"low_savings","less_than_1yr",4,"female_divorced","none",1,"insurance",30,"none","own",2,"skilled_employee",1,"none","yes","good"
"no_account",15,"current_credits_paid","appliances",1262,"good_savings","4_to_7yrs",4,"male_single","none",3,"insurance",36,"none","own",2,"skilled_employee",1,"registered","yes","good"
"small_balance",10,"current_credits_paid","new_car",7308,"low_savings","unemployed",2,"male_single","none",4,"no_property",70,"bank","free",1,"management",1,"registered","yes","good"
